source_prefix	mesh	efo	cellosaurus	ccle	depmap	bto	cl	clo	ncit	umls
mesh	636	2	30	0	0	0	84	34	6	433
efo	2	25	2	0	0	1	0	0	1	0
cellosaurus	30	2	148681	113	1894	2415	0	34149	0	0
ccle	0	0	113	1061	1535	2	0	0	0	0
depmap	0	0	1894	1535	1719	0	0	0	0	0
bto	0	1	2415	2	0	6511	328	5	0	0
cl	84	0	0	0	0	328	2739	0	6	0
clo	34	0	34149	0	0	5	0	39080	0	0
ncit	6	1	0	0	0	0	6	0	503	495
umls	433	0	0	0	0	0	0	0	495	6057
