source_prefix	uberon	mesh	bto	caro	ncit	umls
uberon	15693	1080	1465	0	2527	280
mesh	1080	1797	0	0	28	159
bto	1465	0	6566	0	0	0
caro	0	0	0	90	0	0
ncit	2527	28	0	0	7579	519
umls	280	159	0	0	519	7719
