source_prefix	mesh	efo	cellosaurus	ccle	depmap	bto	cl	clo
mesh	635	21	31	0	0	0	84	35
efo	21	89	1299	564	0	288	14	410
cellosaurus	31	1299	148681	113	1894	2415	0	34149
ccle	0	564	113	1061	1535	2	0	0
depmap	0	0	1894	1535	1719	0	0	0
bto	0	288	2415	2	0	6511	328	5
cl	84	14	0	0	0	328	2739	0
clo	35	410	34149	0	0	5	0	39080
