source_prefix	uberon	mesh	bto	caro	ncit	umls
uberon	15668	1080	1465	0	2527	280
mesh	1080	1797	0	0	28	0
bto	1465	0	6570	0	0	0
caro	0	0	0	92	0	0
ncit	2527	28	0	0	7579	0
umls	280	0	0	0	0	7656
