source_prefix	uberon	mesh	bto	caro	ncit	umls
uberon	15125	763	1462	0	2531	310
mesh	763	1797	55	0	74	159
bto	1462	55	6511	0	804	122
caro	0	0	0	90	0	0
ncit	2531	74	804	0	7579	530
umls	310	159	122	0	530	7656
