source_prefix	complexportal	fplx	go	chembl.target	wikidata	scomp	signor	intact
complexportal	4623	5	0	204	3946	0	266	3326
fplx	5	782	51	0	0	66	118	0
go	0	51	57	0	0	0	0	3
chembl.target	204	0	0	192	0	0	0	0
wikidata	3946	0	0	0	4339	0	0	0
scomp	0	66	0	0	0	135	0	0
signor	266	118	0	0	0	0	355	0
intact	3326	0	3	0	0	0	0	3326
