source_prefix	complexportal	fplx	go	chembl.target	wikidata	scomp	signor	intact
complexportal	4921	5	0	0	4759	0	0	3315
fplx	5	782	46	0	0	66	118	0
go	0	46	2064	0	0	0	0	0
chembl.target	0	0	0	16030	0	0	0	0
wikidata	4759	0	0	0	5164	0	0	0
scomp	0	66	0	0	0	135	0	0
signor	0	118	0	0	0	0	852	0
intact	3315	0	0	0	0	0	0	3326
