source_prefix	uberon	mesh	bto	caro	ncit	umls
uberon	14480	1080	1461	52	2526	281
mesh	1080	1079	0	0	28	160
bto	1461	0	6511	0	0	0
caro	52	0	0	84	0	0
ncit	2526	28	0	0	2783	518
umls	281	160	0	0	518	599
