source_prefix	mesh	efo	cellosaurus	ccle	depmap	bto	cl	clo	ncit	umls
mesh	636	3	30	0	0	0	85	34	6	433
efo	3	27	4	0	0	2	0	3	1	0
cellosaurus	30	4	163868	114	1895	2436	0	34152	0	0
ccle	0	0	114	1739	1700	2	0	0	0	0
depmap	0	0	1895	1700	1814	0	0	0	0	0
bto	0	2	2436	2	0	6566	330	6	0	0
cl	85	0	0	0	0	330	3095	0	6	0
clo	34	3	34152	0	0	6	0	39099	0	0
ncit	6	1	0	0	0	0	6	0	503	497
umls	433	0	0	0	0	0	0	0	497	6341
