source_prefix	mesh	efo	cellosaurus	ccle	depmap	bto	cl	clo	ncit	umls
mesh	636	3	32	6	6	12	81	34	6	433
efo	3	26	2	0	0	1	0	0	1	1
cellosaurus	32	2	161202	1655	1913	2433	0	34153	0	0
ccle	6	0	1655	1061	1629	641	0	1417	0	0
depmap	6	0	1913	1629	1814	668	0	1473	0	0
bto	12	1	2433	641	668	6511	74	1436	0	0
cl	81	0	0	0	0	74	3060	0	2	2
clo	34	0	34153	1417	1473	1436	0	39099	0	0
ncit	6	1	0	0	0	0	2	0	503	498
umls	433	1	0	0	0	0	2	0	498	6312
